,Variant,Types,Variables,Criteria
0,Filter activities by sub-processes,Manipulation,Activities,Sub-processes
1,Group activities by sub-processes,Manipulation,Activities,Sub-processes
2,Group activities by role,Manipulation,Activities,Roles
3,Group activities by time,Manipulation,Activities,Cycle time
4,Filter variants depending on frequency,Manipulation,Variants,Frequency
5,Preprocess the traces of the logs,Manipulation,1. Traces 2. Perspective (events),
6,Filter traces by activities,Manipulation,Traces,Activities
7,Group traces by roles,Manipulation,Traces,Roles
8,Filter activities by cycle time,Manipulation,Activities,Cycle time
9,Filter traces depending on the order of activities,Manipulation,Traces,Frequency
10,Filter events by cycle time,Manipulation,Events,Cycle time
11,Filter activities by frequency,Manipulation,Activities,Frequency
12,Filter traces by attributes,Manipulation,Traces,Attributes
13,Group traces depending on attributes,Manipulation,Traces,Attributes
14,Group traces by cycle time,Manipulation,Traces,Cycle time
15,Group traces by organizational units,Manipulation,Traces,Organizational units
16,Group organizational units,Manipulation,Organizational units,
17,Filter traces by cycle time,Manipulation,Traces,Cycle time
18,Group traces by year,Manipulation,Traces,Timestamp
19,Filter events by attributes,Manipulation,Events,Attributes
20,Filter events by activities,Manipulation,Events,Activities
21,Group traces by waiting,Manipulation,Traces,Waiting time
22,Group traces by activities,Manipulation,Traces,Activities
23,Group activities using clustering,Manipulation,Activities,Clustering
24,Group events by time,Manipulation,Events,Cycle time
25,Preprocess the events of the logs,Manipulation,,
26,Filter traces by frequency,Manipulation,Traces,Frequency
27,Group traces according to the repetition of activities,Manipulation,Traces,Activities
28,Group traces by sub-processes,Manipulation,Traces,Sub-processes
29,Group traces by endpoints,Manipulation,Traces,Activities
30,Filter activities by resource,Manipulation,Activities,Resources
31,Filter traces by year,Manipulation,Traces,Timestamp
32,Filter sub-processes by cycle time,Manipulation,Sub-processes,Cycle time
33,Filter sub-processes by attributes,Manipulation,Sub-processes,Attributes
34,Group sub-processes,Manipulation,Sub-processes,
35,Group traces by resources,Manipulation,Traces,Resources
36,Filter events by resources,Manipulation,Events,Resources
37,Group events by attributes,Manipulation,Events,Attributes
38,Group traces by month,Manipulation,Traces,Timestamp
39,Filter traces by subprocesses,Manipulation,Traces,Sub-processes
